AnnoS;AteneoCOD;AteneoNOME;SESSO;Lau
2021;1202;Insubria;M;915
2021;1301;Novedrate e-Campus - telematica;F;4023
2021;1301;Novedrate e-Campus - telematica;M;3417
2021;1501;Milano;F;7213
2021;1501;Milano;M;4472
2021;1502;Milano Politecnico;F;4651
2021;1502;Milano Politecnico;M;8177
2021;1503;Milano Bocconi;F;2030
2021;1503;Milano Bocconi;M;2687
2021;1504;Milano Cattolica;F;7565
2021;1504;Milano Cattolica;M;3763
2021;1505;Milano IULM;F;1464
2021;1505;Milano IULM;M;469
2021;1508;Milano San Raffaele;F;475
2021;1508;Milano San Raffaele;M;233
2021;1509;Milano Bicocca;F;4744
2021;1509;Milano Bicocca;M;2844
2021;1510;Rozzano (MI) Humanitas University;F;131
2021;1510;Rozzano (MI) Humanitas University;M;54
2021;1601;Bergamo;F;3197
2021;1601;Bergamo;M;1579
2021;1701;Brescia;F;1321
2021;1701;Brescia;M;1473
2021;1801;Pavia;F;2922
2021;1801;Pavia;M;2032
2021;2101;Bolzano;F;593
2021;2101;Bolzano;M;233
2021;2201;Trento;F;2022
2021;2201;Trento;M;1888
2021;2301;Verona;F;3418
2021;2301;Verona;M;1715
2021;2701;Ca' Foscari Venezia;F;3710
2021;2701;Ca' Foscari Venezia;M;1742
2021;2702;Venezia Iuav;F;647
2021;2702;Venezia Iuav;M;454
2021;2801;Padova;F;7641
2021;2801;Padova;M;6142
2021;3001;Udine;F;1679
2021;3001;Udine;M;1343
2021;3201;Trieste;F;1845
2021;3201;Trieste;M;1256
2021;3401;Parma;F;3283
2021;3401;Parma;M;2241
2021;3601;Modena e Reggio Emilia;F;3090
2021;3601;Modena e Reggio Emilia;M;2408
2021;3701;Bologna;F;11378
2021;3701;Bologna;M;8542
2021;3801;Ferrara;F;2783
2021;3801;Ferrara;M;1894
2021;4101;Urbino;F;1801
2021;4101;Urbino;M;923
2021;4201;Marche;F;1354
2021;4201;Marche;M;1499
2021;4301;Macerata;F;1656
2021;4301;Macerata;M;468
2021;4302;Camerino;F;472
2021;4302;Camerino;M;453
2021;4801;Firenze;F;5907
2021;4801;Firenze;M;4035
2021;4804;Firenze IUL - telematica;F;51
2021;4804;Firenze IUL - telematica;M;22
2021;5001;Pisa;F;4011
2021;5001;Pisa;M;3708
2021;5201;Siena;F;1961
2021;5201;Siena;M;1197
2021;5202;Siena Stranieri;F;365
2021;5202;Siena Stranieri;M;64
2021;5401;Perugia;F;2631
2021;5401;Perugia;M;1752
2021;5403;Perugia Stranieri;F;177
2021;5403;Perugia Stranieri;M;63
2021;5601;Tuscia;F;851
2021;5601;Tuscia;M;725
2021;5801;Roma La Sapienza;F;11830
2021;5801;Roma La Sapienza;M;7650
2021;5802;Roma Tor Vergata;F;3128
2021;5802;Roma Tor Vergata;M;2355
2021;5803;Roma LUMSA;F;1107
2021;5803;Roma LUMSA;M;431
2021;5805;Roma LUISS;F;1422
2021;5805;Roma LUISS;M;1780
2021;5806;Roma Foro Italico;F;160
2021;5806;Roma Foro Italico;M;383
2021;5807;Roma Tre;F;3471
2021;5807;Roma Tre;M;2191
2021;5808;Roma Biomedico;F;322
2021;5808;Roma Biomedico;M;196
2021;5809;Roma UNINT;F;495
2021;5809;Roma UNINT;M;114
2021;5810;Roma Marconi - telematica;F;1355
2021;5810;Roma Marconi - telematica;M;988
2021;5811;Roma UNITELMA - telematica;F;211
2021;5811;Roma UNITELMA - telematica;M;246
2021;5812;Roma Europea;F;227
2021;5812;Roma Europea;M;94
2021;5813;Roma UNINETTUNO - telematica;F;334
2021;5813;Roma UNINETTUNO - telematica;M;360
2021;5814;Roma  Mercatorum - telematica;F;826
2021;5814;Roma  Mercatorum - telematica;M;1406
2021;5815;Roma UNICUSANO - telematica;F;3347
2021;5815;Roma UNICUSANO - telematica;M;3932
2021;5816;Roma San Raffaele - telematica;F;636
2021;5816;Roma San Raffaele - telematica;M;720
2021;5817;Roma Link Campus;F;61
2021;5817;Roma Link Campus;M;146
2021;5818;Roma Saint Camillus;F;16
2021;5818;Roma Saint Camillus;M;18
2021;6001;Cassino;F;835
2021;6001;Cassino;M;552
2021;6201;Sannio;F;440
2021;6201;Sannio;M;326
2021;6202;Benevento Giustino Fortunato - telematica;F;228
2021;6202;Benevento Giustino Fortunato - telematica;M;256
2021;6301;Napoli Federico II;F;7530
2021;6301;Napoli Federico II;M;5885
2021;6302;Napoli Parthenope;F;1016
2021;6302;Napoli Parthenope;M;1227
2021;6303;Napoli L'Orientale;F;1734
2021;6303;Napoli L'Orientale;M;355
2021;6304;Napoli Benincasa;F;1797
2021;6304;Napoli Benincasa;M;267
2021;6306;Napoli Vanvitelli;F;2336
2021;6306;Napoli Vanvitelli;M;1531
2021;6307;Napoli Pegaso - telematica;F;8361
2021;6307;Napoli Pegaso - telematica;M;9692
2021;6501;Salerno;F;3422
2021;6501;Salerno;M;2797
2021;6601;L'Aquila;F;1589
2021;6601;L'Aquila;M;1305
2021;6701;Teramo;F;519
2021;6701;Teramo;M;439
2021;6901;Chieti e Pescara;F;3108
2021;6901;Chieti e Pescara;M;1478
2021;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;F;3
2021;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;M;5
2021;7001;Molise;F;735
2021;7001;Molise;M;457
2021;7101;Foggia;F;1392
2021;7101;Foggia;M;681
2021;7201;Bari;F;4981
2021;7201;Bari;M;2625
2021;7202;Bari Politecnico;F;671
2021;7202;Bari Politecnico;M;1281
2021;7203;Casamassima - G.Degennaro;F;184
2021;7203;Casamassima - G.Degennaro;M;254
2021;7501;Salento;F;1964
2021;7501;Salento;M;925
2021;7601;Basilicata;F;537
2021;7601;Basilicata;M;349
2021;7801;Calabria;F;2406
2021;7801;Calabria;M;1570
2021;7901;Catanzaro;F;1064
2021;7901;Catanzaro;M;589
2021;8001;Reggio Calabria;F;388
2021;8001;Reggio Calabria;M;370
2021;8003;Reggio Calabria - Dante Alighieri;F;140
2021;8003;Reggio Calabria - Dante Alighieri;M;25
2021;8201;Palermo;F;4587
2021;8201;Palermo;M;2899
2021;8301;Messina;F;2408
2021;8301;Messina;M;1337
2021;8601;Enna KORE;F;649
2021;8601;Enna KORE;M;304
2021;8701;Catania;F;3744
2021;8701;Catania;M;2461
2021;9001;Sassari;F;1555
2021;9001;Sassari;M;753
2021;9201;Cagliari;F;2252
2021;9201;Cagliari;M;1438
2020;101;Torino;F;9066
2020;101;Torino;M;5823
2020;102;Torino Politecnico;F;2303
2020;102;Torino Politecnico;M;5363
2020;201;Piemonte Orientale;F;1372
2020;201;Piemonte Orientale;M;749
2020;401;Bra Scienze Gastronomiche;F;70
2020;401;Bra Scienze Gastronomiche;M;54
2020;701;Aosta;F;188
2020;701;Aosta;M;78
2020;1001;Genova;F;3239
2020;1001;Genova;M;2470
2020;1201;Castellanza LIUC;F;318
2020;1201;Castellanza LIUC;M;468
2020;1202;Insubria;F;1149
2020;1202;Insubria;M;897
2020;1301;Novedrate e-Campus - telematica;F;2711
2020;1301;Novedrate e-Campus - telematica;M;2132
2020;1501;Milano;F;7072
2020;1501;Milano;M;4624
2020;1502;Milano Politecnico;F;4473
2020;1502;Milano Politecnico;M;7770
2020;1503;Milano Bocconi;F;2057
2020;1503;Milano Bocconi;M;2721
2020;1504;Milano Cattolica;F;7546
2020;1504;Milano Cattolica;M;3742
2020;1505;Milano IULM;F;1274
2020;1505;Milano IULM;M;471
2020;1508;Milano San Raffaele;F;450
2020;1508;Milano San Raffaele;M;230
2020;1509;Milano Bicocca;F;4726
2020;1509;Milano Bicocca;M;2777
2020;1510;Rozzano (MI) Humanitas University;F;118
2020;1510;Rozzano (MI) Humanitas University;M;64
2020;1601;Bergamo;F;2556
2020;1601;Bergamo;M;1438
2020;1701;Brescia;F;1151
2020;1701;Brescia;M;1340
2020;1801;Pavia;F;2749
2020;1801;Pavia;M;1978
2020;2101;Bolzano;F;583
2020;2101;Bolzano;M;248
2020;2201;Trento;F;2007
2020;2201;Trento;M;1857
2020;2301;Verona;F;3473
2020;2301;Verona;M;1736
2020;2701;Ca' Foscari Venezia;F;3569
2020;2701;Ca' Foscari Venezia;M;1814
2020;2702;Venezia Iuav;F;629
2020;2702;Venezia Iuav;M;523
2020;2801;Padova;F;7516
2020;2801;Padova;M;6054
2020;3001;Udine;F;1695
2020;3001;Udine;M;1392
2020;3201;Trieste;F;1712
2020;3201;Trieste;M;1289
2020;3401;Parma;F;3063
2020;3401;Parma;M;2156
2020;3601;Modena e Reggio Emilia;F;2947
2020;3601;Modena e Reggio Emilia;M;2213
2020;3701;Bologna;F;10883
2020;3701;Bologna;M;8242
2020;3801;Ferrara;F;2373
2020;3801;Ferrara;M;1533
2020;4101;Urbino;F;1804
2020;4101;Urbino;M;965
2020;4201;Marche;F;1462
2020;4201;Marche;M;1563
2020;4301;Macerata;F;1553
2020;4301;Macerata;M;507
2020;4302;Camerino;F;511
2020;4302;Camerino;M;458
2020;4801;Firenze;F;5685
2020;4801;Firenze;M;4126
2020;4804;Firenze IUL - telematica;F;50
2020;4804;Firenze IUL - telematica;M;16
2020;5001;Pisa;F;3814
2020;5001;Pisa;M;3795
2020;5201;Siena;F;1756
2020;5201;Siena;M;1191
2020;5202;Siena Stranieri;F;379
2020;5202;Siena Stranieri;M;70
2020;5401;Perugia;F;2533
2020;5401;Perugia;M;1783
2020;5403;Perugia Stranieri;F;184
2020;5403;Perugia Stranieri;M;64
2020;5601;Tuscia;F;752
2020;5601;Tuscia;M;802
2020;5801;Roma La Sapienza;F;10562
2020;5801;Roma La Sapienza;M;7627
2020;5802;Roma Tor Vergata;F;2876
2020;5802;Roma Tor Vergata;M;2445
2020;5803;Roma LUMSA;F;1028
2020;5803;Roma LUMSA;M;380
2020;5805;Roma LUISS;F;1368
2020;5805;Roma LUISS;M;1692
2020;5806;Roma Foro Italico;F;164
2020;5806;Roma Foro Italico;M;403
2020;5807;Roma Tre;F;3598
2020;5807;Roma Tre;M;2155
2020;5808;Roma Biomedico;F;355
2020;5808;Roma Biomedico;M;182
2020;5809;Roma UNINT;F;501
2020;5809;Roma UNINT;M;108
2020;5810;Roma Marconi - telematica;F;1027
2020;5810;Roma Marconi - telematica;M;942
2020;5811;Roma UNITELMA - telematica;F;185
2020;5811;Roma UNITELMA - telematica;M;201
2020;5812;Roma Europea;F;222
2020;5812;Roma Europea;M;89
2020;5813;Roma UNINETTUNO - telematica;F;313
2020;5813;Roma UNINETTUNO - telematica;M;392
2020;5814;Roma  Mercatorum - telematica;F;221
2020;5814;Roma  Mercatorum - telematica;M;438
2020;5815;Roma UNICUSANO - telematica;F;1944
2020;5815;Roma UNICUSANO - telematica;M;2652
2020;5816;Roma San Raffaele - telematica;F;612
2020;5816;Roma San Raffaele - telematica;M;767
2020;5817;Roma Link Campus;F;90
2020;5817;Roma Link Campus;M;239
2020;6001;Cassino;F;840
2020;6001;Cassino;M;562
2020;6201;Sannio;F;431
2020;6201;Sannio;M;362
2020;6202;Benevento Giustino Fortunato - telematica;F;158
2020;6202;Benevento Giustino Fortunato - telematica;M;188
2020;6301;Napoli Federico II;F;7325
2020;6301;Napoli Federico II;M;5742
2020;6302;Napoli Parthenope;F;1007
2020;6302;Napoli Parthenope;M;1159
2020;6303;Napoli L'Orientale;F;1630
2020;6303;Napoli L'Orientale;M;375
2020;6304;Napoli Benincasa;F;1698
2020;6304;Napoli Benincasa;M;257
2020;6306;Napoli Vanvitelli;F;2596
2020;6306;Napoli Vanvitelli;M;1645
2020;6307;Napoli Pegaso - telematica;F;6259
2020;6307;Napoli Pegaso - telematica;M;8171
2020;6501;Salerno;F;3304
2020;6501;Salerno;M;2543
2020;6601;L'Aquila;F;1758
2020;6601;L'Aquila;M;1279
2020;6701;Teramo;F;482
2020;6701;Teramo;M;428
2020;6901;Chieti e Pescara;F;2919
2020;6901;Chieti e Pescara;M;1498
2020;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;F;9
2020;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;M;7
2020;7001;Molise;F;711
2020;7001;Molise;M;445
2020;7101;Foggia;F;1279
2020;7101;Foggia;M;733
2020;7201;Bari;F;4696
2020;7201;Bari;M;2543
2020;7202;Bari Politecnico;F;658
2020;7202;Bari Politecnico;M;1203
2020;7203;Casamassima - G.Degennaro;F;137
2020;7203;Casamassima - G.Degennaro;M;204
2020;7501;Salento;F;1781
2020;7501;Salento;M;935
2020;7601;Basilicata;F;496
2020;7601;Basilicata;M;357
2020;7801;Calabria;F;2597
2020;7801;Calabria;M;1788
2020;7901;Catanzaro;F;1034
2020;7901;Catanzaro;M;610
2020;8001;Reggio Calabria;F;370
2020;8001;Reggio Calabria;M;378
2020;8003;Reggio Calabria - Dante Alighieri;F;136
2020;8003;Reggio Calabria - Dante Alighieri;M;26
2020;8201;Palermo;F;4632
2020;8201;Palermo;M;3006
2020;8301;Messina;F;2498
2020;8301;Messina;M;1389
2020;8601;Enna KORE;F;677
2020;8601;Enna KORE;M;304
2020;8701;Catania;F;3833
2020;8701;Catania;M;2591
2020;9001;Sassari;F;1539
2020;9001;Sassari;M;777
2020;9201;Cagliari;F;2267
2020;9201;Cagliari;M;1462
2019;101;Torino;F;8494
2019;101;Torino;M;5342
2019;102;Torino Politecnico;F;2262
2019;102;Torino Politecnico;M;5259
2019;201;Piemonte Orientale;F;1539
2019;201;Piemonte Orientale;M;824
2019;401;Bra Scienze Gastronomiche;F;44
2019;401;Bra Scienze Gastronomiche;M;59
2019;701;Aosta;F;207
2019;701;Aosta;M;59
2019;1001;Genova;F;3320
2019;1001;Genova;M;2475
2019;1201;Castellanza LIUC;F;226
2019;1201;Castellanza LIUC;M;436
2019;1202;Insubria;F;1123
2019;1202;Insubria;M;746
2019;1301;Novedrate e-Campus - telematica;F;1485
2019;1301;Novedrate e-Campus - telematica;M;1262
2019;1501;Milano;F;7191
2019;1501;Milano;M;4683
2019;1502;Milano Politecnico;F;4435
2019;1502;Milano Politecnico;M;7771
2019;1503;Milano Bocconi;F;2168
2019;1503;Milano Bocconi;M;2549
2019;1504;Milano Cattolica;F;6799
2019;1504;Milano Cattolica;M;3546
2019;1505;Milano IULM;F;1090
2019;1505;Milano IULM;M;398
2019;1508;Milano San Raffaele;F;420
2019;1508;Milano San Raffaele;M;225
2019;1509;Milano Bicocca;F;4462
2019;1509;Milano Bicocca;M;2632
2019;1510;Rozzano (MI) Humanitas University;F;51
2019;1510;Rozzano (MI) Humanitas University;M;36
2019;1601;Bergamo;F;2481
2019;1601;Bergamo;M;1389
2019;1701;Brescia;F;1193
2019;1701;Brescia;M;1390
2019;1801;Pavia;F;2587
2019;1801;Pavia;M;1994
2019;2101;Bolzano;F;470
2019;2101;Bolzano;M;235
2019;2201;Trento;F;1919
2019;2201;Trento;M;1782
2019;2301;Verona;F;3394
2019;2301;Verona;M;1731
2019;2701;Ca' Foscari Venezia;F;3381
2019;2701;Ca' Foscari Venezia;M;1649
2019;2702;Venezia Iuav;F;659
2019;2702;Venezia Iuav;M;534
2019;2801;Padova;F;7426
2019;2801;Padova;M;5995
2019;3001;Udine;F;1733
2019;3001;Udine;M;1412
2019;3201;Trieste;F;1754
2019;3201;Trieste;M;1250
2019;3401;Parma;F;2947
2019;3401;Parma;M;2212
2019;3601;Modena e Reggio Emilia;F;2860
2019;3601;Modena e Reggio Emilia;M;2255
2019;3701;Bologna;F;10880
2019;3701;Bologna;M;8153
2019;3801;Ferrara;F;1772
2019;3801;Ferrara;M;1386
2019;4101;Urbino;F;1798
2019;4101;Urbino;M;999
2019;4201;Marche;F;1415
2019;4201;Marche;M;1545
2019;4301;Macerata;F;1518
2019;4301;Macerata;M;518
2019;4302;Camerino;F;473
2019;4302;Camerino;M;428
2019;4801;Firenze;F;5708
2019;4801;Firenze;M;3562
2019;4804;Firenze IUL - telematica;F;37
2019;4804;Firenze IUL - telematica;M;9
2019;5001;Pisa;F;3992
2019;5001;Pisa;M;3754
2019;5201;Siena;F;1822
2019;5201;Siena;M;1208
2019;5202;Siena Stranieri;F;350
2019;5202;Siena Stranieri;M;66
2019;5401;Perugia;F;2697
2019;5401;Perugia;M;1836
2019;5403;Perugia Stranieri;F;189
2019;5403;Perugia Stranieri;M;73
2019;5601;Tuscia;F;704
2019;5601;Tuscia;M;899
2019;5801;Roma La Sapienza;F;11248
2019;5801;Roma La Sapienza;M;7717
2019;5802;Roma Tor Vergata;F;3116
2019;5802;Roma Tor Vergata;M;3060
2019;5803;Roma LUMSA;F;974
2019;5803;Roma LUMSA;M;383
2019;5805;Roma LUISS;F;1235
2019;5805;Roma LUISS;M;1512
2019;5806;Roma Foro Italico;F;171
2019;5806;Roma Foro Italico;M;365
2019;5807;Roma Tre;F;3538
2019;5807;Roma Tre;M;2279
2019;5808;Roma Biomedico;F;270
2019;5808;Roma Biomedico;M;175
2019;5809;Roma UNINT;F;382
2019;5809;Roma UNINT;M;101
2019;5810;Roma Marconi - telematica;F;815
2019;5810;Roma Marconi - telematica;M;806
2019;5811;Roma UNITELMA - telematica;F;154
2019;5811;Roma UNITELMA - telematica;M;167
2019;5812;Roma Europea;F;150
2019;5812;Roma Europea;M;72
2019;5813;Roma UNINETTUNO - telematica;F;190
2019;5813;Roma UNINETTUNO - telematica;M;241
2019;5814;Roma  Mercatorum - telematica;F;120
2019;5814;Roma  Mercatorum - telematica;M;526
2019;5815;Roma UNICUSANO - telematica;F;1937
2019;5815;Roma UNICUSANO - telematica;M;2731
2019;5816;Roma San Raffaele - telematica;F;426
2019;5816;Roma San Raffaele - telematica;M;412
2019;5817;Roma Link Campus;F;118
2019;5817;Roma Link Campus;M;329
2019;6001;Cassino;F;825
2019;6001;Cassino;M;701
2019;6201;Sannio;F;443
2019;6201;Sannio;M;434
2019;6202;Benevento Giustino Fortunato - telematica;F;121
2019;6202;Benevento Giustino Fortunato - telematica;M;215
2019;6301;Napoli Federico II;F;7385
2019;6301;Napoli Federico II;M;5832
2019;6302;Napoli Parthenope;F;1037
2019;6302;Napoli Parthenope;M;1252
2019;6303;Napoli L'Orientale;F;1540
2019;6303;Napoli L'Orientale;M;328
2019;6304;Napoli Benincasa;F;1532
2019;6304;Napoli Benincasa;M;243
2019;6306;Napoli Vanvitelli;F;2982
2019;6306;Napoli Vanvitelli;M;1900
2019;6307;Napoli Pegaso - telematica;F;3861
2019;6307;Napoli Pegaso - telematica;M;5344
2019;6501;Salerno;F;3475
2019;6501;Salerno;M;2573
2019;6601;L'Aquila;F;1829
2019;6601;L'Aquila;M;1373
2019;6701;Teramo;F;565
2019;6701;Teramo;M;435
2019;6901;Chieti e Pescara;F;3480
2019;6901;Chieti e Pescara;M;1661
2019;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;F;8
2019;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;M;6
2019;7001;Molise;F;749
2019;7001;Molise;M;471
2019;7101;Foggia;F;1202
2019;7101;Foggia;M;662
2019;7201;Bari;F;4767
2019;7201;Bari;M;2710
2019;7202;Bari Politecnico;F;677
2019;7202;Bari Politecnico;M;1313
2019;7203;Casamassima - G.Degennaro;F;150
2019;7203;Casamassima - G.Degennaro;M;215
2019;7501;Salento;F;2006
2019;7501;Salento;M;1104
2019;7601;Basilicata;F;541
2019;7601;Basilicata;M;367
2019;7801;Calabria;F;2664
2019;7801;Calabria;M;1824
2019;7901;Catanzaro;F;979
2019;7901;Catanzaro;M;576
2019;8001;Reggio Calabria;F;359
2019;8001;Reggio Calabria;M;376
2019;8003;Reggio Calabria - Dante Alighieri;F;142
2019;8003;Reggio Calabria - Dante Alighieri;M;25
2019;8201;Palermo;F;4461
2019;8201;Palermo;M;3033
2019;8301;Messina;F;2421
2019;8301;Messina;M;1458
2019;8601;Enna KORE;F;785
2019;8601;Enna KORE;M;346
2019;8701;Catania;F;3825
2019;8701;Catania;M;2439
2019;9001;Sassari;F;1449
2019;9001;Sassari;M;763
2019;9201;Cagliari;F;2466
2019;9201;Cagliari;M;1537
2018;101;Torino;F;8067
2018;101;Torino;M;4923
2018;102;Torino Politecnico;F;2226
2018;102;Torino Politecnico;M;5041
2018;201;Piemonte Orientale;F;1265
2018;201;Piemonte Orientale;M;759
2018;401;Bra Scienze Gastronomiche;F;64
2018;401;Bra Scienze Gastronomiche;M;54
